1,448,4,7,1,1
2,185,3,17,2,1
3,349,4,11,3,1
4,569,5,3,4,1
5,367,4,9,5,1
6,565,5,5,6,1
7,212,3,13,7,1
8,397,4,1,8,1
9,383,4,15,9,1
10,487,4,8,10,1
11,144,3,16,11,1
12,343,4,6,12,1
13,646,5,2,13,1
14,375,4,10,14,1
15,363,4,14,15,1
16,136,3,18,16,1
17,407,4,4,17,1
18,509,5,4,18,1
19,424,4,7,1,2
20,161,3,17,2,2
21,339,4,11,3,2
22,523,5,3,4,2
23,338,4,9,5,2
24,535,5,5,6,2
25,191,3,13,7,2
26,366,4,1,8,2
27,355,4,15,9,2
28,474,4,8,10,2
29,126,3,16,11,2
30,327,4,6,12,2
31,570,5,2,13,2
32,358,4,10,14,2
33,331,4,14,15,2
34,122,3,18,16,2
35,386,4,4,17,2
36,474,5,12,18,2
37,561,5,10,1,3
38,353,4,7,2,3
39,162,3,5,3,3
40,408,4,3,4,3
41,517,5,17,5,3
42,180,3,9,6,3
43,395,4,5,7,3
44,406,4,1,8,3
45,434,4,13,9,3
46,427,4,6,10,3
47,547,5,14,11,3
48,386,4,8,12,3
49,161,3,18,13,3
50,417,4,2,14,3
51,422,4,4,15,3
52,530,5,12,16,3
53,165,3,16,17,3
54,389,4,10,18,3
55,544,5,11,1,4
56,329,4,7,2,4
57,152,3,15,3,4
58,392,4,3,4,4
59,499,5,17,5,4
60,165,3,9,6,4
61,378,4,5,7,4
62,361,4,1,8,4
63,417,4,13,9,4
64,411,4,6,10,4
65,516,5,14,11,4
66,366,4,8,12,4
67,144,3,18,13,4
68,376,4,2,14,4
69,394,4,4,15,4
70,517,5,12,16,4
71,164,3,16,17,4
72,370,4,10,18,4
73,293,4,17,1,5
74,398,4,1,2,5
75,196,3,7,3,5
76,168,3,15,4,5
77,345,4,9,5,5
78,333,4,11,6,5
79,409,4,3,7,5
80,309,4,13,8,5
81,393,4,5,9,5
82,335,4,10,10,5
83,317,4,14,11,5
84,175,3,12,12,5
85,485,5,6,13,5
86,144,3,18,14,5
87,517,5,2,15,5
88,440,4,4,16,5
89,169,3,16,17,5
90,446,4,8,18,5
91,263,4,17,1,6
92,370,4,1,2,6
93,196,3,7,3,6
94,151,3,15,4,6
95,302,4,9,5,6
96,316,4,11,6,6
97,400,4,3,7,6
98,296,4,13,8,6
99,367,4,5,9,6
100,326,4,10,10,6
101,289,4,14,11,6
102,175,3,12,12,6
103,478,5,6,13,6
104,140,3,18,14,6
105,486,5,2,15,6
106,431,4,4,16,6
107,124,3,16,17,6
108,436,4,8,18,6
109,418,4,4,1,7
110,566,5,12,2,7
111,231,3,14,3,7
112,433,4,6,4,7
113,448,4,10,5,7
114,341,4,16,6,7
115,442,4,2,7,7
116,562,5,8,8,7
117,165,3,18,9,7
118,420,4,1,10,7
119,413,4,7,11,7
120,225,3,13,12,7
121,479,5,9,13,7
122,569,5,3,14,7
123,411,4,5,15,7
124,351,4,15,16,7
125,163,3,17,17,7
126,405,4,11,18,7
127,348,4,4,1,8
128,495,5,12,2,8
129,196,3,14,3,8
130,360,4,6,4,8
131,343,4,10,5,8
132,299,4,16,6,8
133,366,4,2,7,8
134,491,5,8,8,8
135,137,3,18,9,8
136,370,4,1,10,8
137,366,4,7,11,8
138,193,3,13,12,8
139,423,5,9,13,8
140,446,5,3,14,8
141,325,4,5,15,8
142,308,4,15,16,8
143,135,3,17,17,8
144,356,4,11,18,8
145,339,4,4,1,9
146,485,5,12,2,9
147,148,3,14,3,9
148,355,4,6,4,9
149,336,4,10,5,9
150,285,4,16,6,9
151,361,4,2,7,9
152,487,5,8,8,9
153,133,3,18,9,9
154,354,4,1,10,9
155,358,4,7,11,9
156,158,3,13,12,9
157,417,5,9,13,9
158,416,5,3,14,9
159,311,4,5,15,9
160,286,4,15,16,9
161,131,3,17,17,9
162,343,4,11,18,9
163,323,4,4,1,10
164,441,5,12,2,10
165,134,3,14,3,10
166,314,4,6,4,10
167,305,4,10,5,10
168,266,4,16,6,10
169,290,4,2,7,10
170,391,5,8,8,10
171,114,3,18,9,10
172,336,4,1,10,10
173,342,4,7,11,10
174,133,3,13,12,10
175,403,5,9,13,10
176,397,5,3,14,10
177,281,4,5,15,10
178,266,4,15,16,10
179,102,3,17,17,10
180,261,4,11,18,10
181,392,4,15,1,11
182,432,4,3,2,11
183,191,3,13,3,11
184,525,5,17,4,11
185,408,4,1,5,11
186,191,3,7,6,11
187,568,5,11,7,11
188,416,4,9,8,11
189,422,4,5,9,11
190,395,4,18,10,11
191,359,4,14,11,11
192,206,3,10,12,11
193,548,5,2,13,11
194,422,4,16,14,11
195,211,3,6,15,11
196,573,5,12,16,11
197,441,4,4,17,11
198,485,5,8,18,11
199,383,4,15,1,12
200,412,4,3,2,12
201,179,3,13,3,12
202,505,5,17,4,12
203,393,4,1,5,12
204,176,3,7,6,12
205,558,5,11,7,12
206,384,4,9,8,12
207,414,4,5,9,12
208,369,4,18,10,12
209,350,4,14,11,12
210,176,3,10,12,12
211,535,5,2,13,12
212,407,4,16,14,12
213,201,3,6,15,12
214,563,5,12,16,12
215,412,4,4,17,12
216,470,5,8,18,12
217,357,4,15,1,13
218,381,4,3,2,13
219,135,3,13,3,13
220,455,5,17,4,13
221,366,4,1,5,13
222,140,3,7,6,13
223,526,5,11,7,13
224,366,4,9,8,13
225,389,4,5,9,13
226,349,4,18,10,13
227,318,4,14,11,13
228,166,3,10,12,13
229,487,5,2,13,13
230,373,4,16,14,13
231,182,3,6,15,13
232,536,5,12,16,13
233,372,4,4,17,13
234,451,5,8,18,13
235,389,4,13,1,14
236,449,4,3,2,14
237,235,3,5,3,14
238,419,4,7,4,14
239,579,5,9,5,14
240,363,4,15,6,14
241,462,4,1,7,14
242,187,3,11,8,14
243,537,5,17,9,14
244,440,4,8,10,14
245,423,4,16,11,14
246,549,5,18,12,14
247,449,4,4,13,14
248,218,3,14,14,14
249,441,4,6,15,14
250,554,5,10,16,14
251,207,3,12,17,14
252,467,4,2,18,14
253,367,4,13,1,15
254,435,4,3,2,15
255,210,3,5,3,15
256,392,4,7,4,15
257,542,5,9,5,15
258,363,4,15,6,15
259,428,4,1,7,15
260,168,3,11,8,15
261,523,5,17,9,15
262,412,4,8,10,15
263,392,4,16,11,15
264,525,5,18,12,15
265,419,4,4,13,15
266,191,3,14,14,15
267,414,4,6,15,15
268,535,5,10,16,15
269,183,3,12,17,15
270,436,4,2,18,15
271,361,4,13,1,16
272,423,4,3,2,16
273,203,3,5,3,16
274,384,4,7,4,16
275,514,5,9,5,16
276,338,4,15,6,16
277,416,4,1,7,16
278,161,3,11,8,16
279,465,5,17,9,16
280,406,4,8,10,16
281,384,4,16,11,16
282,511,5,18,12,16
283,405,4,4,13,16
284,184,3,14,14,16
285,402,4,6,15,16
286,509,5,10,16,16
287,177,3,12,17,16
288,421,4,2,18,16
289,335,4,16,1,17
290,404,4,6,2,17
291,167,3,14,3,17
292,437,4,2,4,17
293,497,5,8,5,17
294,184,3,18,6,17
295,379,4,10,7,17
296,394,4,4,8,17
297,511,5,12,9,17
298,408,4,1,10,17
299,316,4,15,11,17
300,231,3,9,12,17
301,368,4,5,13,17
